atc-code,atc-level,description
V08AB12,V08A,"X-RAY CONTRAST MEDIA, IODINATED"
V08AB12,V08,CONTRAST MEDIA
V08AB12,V,VARIOUS
V09DA04,V09DA,Technetium (99mTc) compounds
V09DA04,V09D,HEPATIC AND RETICULO ENDOTHELIAL SYSTEM
V09DA04,V09,DIAGNOSTIC RADIOPHARMACEUTICALS
V09DA04,V,VARIOUS
V09BA02,V09BA,Technetium (99mTc) compounds
V09BA02,V09B,SKELETON
V09BA02,V09,DIAGNOSTIC RADIOPHARMACEUTICALS
V09BA02,V,VARIOUS
V09BA01,V09BA,Technetium (99mTc) compounds
V09BA01,V09B,SKELETON
V09BA01,V09,DIAGNOSTIC RADIOPHARMACEUTICALS
V09BA01,V,VARIOUS
V03AN01,V03AN,Medical gases
V03AN01,V03A,ALL OTHER THERAPEUTIC PRODUCTS
V03AN01,V03,ALL OTHER THERAPEUTIC PRODUCTS
V03AN01,V,VARIOUS
V04CC03,V04CC,Tests for bile duct patency
V04CC03,V04C,OTHER DIAGNOSTIC AGENTS
V04CC03,V04,DIAGNOSTIC AGENTS
V04CC03,V,VARIOUS
L01XX48,L01XX,Other antineoplastic agents
L01XX48,L01X,OTHER ANTINEOPLASTIC AGENTS
L01XX48,L01,ANTINEOPLASTIC AGENTS
L01XX48,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
V03AE05,B03AB,"Iron trivalent, oral preparations"
V03AE05,B03A,IRON PREPARATIONS
V03AE05,B03,ANTIANEMIC PREPARATIONS
V03AE05,B,BLOOD AND BLOOD FORMING ORGANS
V03AE05,V03AE,Drugs for treatment of hyperkalemia and hyperphosphatemia
V03AE05,V03A,ALL OTHER THERAPEUTIC PRODUCTS
V03AE05,V03,ALL OTHER THERAPEUTIC PRODUCTS
V03AE05,V,VARIOUS
V09AX06,V09AX,Other central nervous system diagnostic radiopharmaceuticals
V09AX06,V09A,CENTRAL NERVOUS SYSTEM
V09AX06,V09,DIAGNOSTIC RADIOPHARMACEUTICALS
V09AX06,V,VARIOUS
V09AX05,V09AX,Other central nervous system diagnostic radiopharmaceuticals
V09AX05,V09A,CENTRAL NERVOUS SYSTEM
V09AX05,V09,DIAGNOSTIC RADIOPHARMACEUTICALS
V09AX05,V,VARIOUS
V09AX04,V09AX,Other central nervous system diagnostic radiopharmaceuticals
V09AX04,V09A,CENTRAL NERVOUS SYSTEM
V09AX04,V09,DIAGNOSTIC RADIOPHARMACEUTICALS
V09AX04,V,VARIOUS
V03AN04,V03AN,Medical gases
V03AN04,V03A,ALL OTHER THERAPEUTIC PRODUCTS
V03AN04,V03,ALL OTHER THERAPEUTIC PRODUCTS
V03AN04,V,VARIOUS
B05XA03,B05CB,Salt solutions
B05XA03,B05C,IRRIGATING SOLUTIONS
B05XA03,B05,BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS
B05XA03,B,BLOOD AND BLOOD FORMING ORGANS
B05XA03,A12CA,Sodium
B05XA03,A12C,OTHER MINERAL SUPPLEMENTS
B05XA03,A12,MINERAL SUPPLEMENTS
B05XA03,A,ALIMENTARY TRACT AND METABOLISM
B05XA03,B05XA,Electrolyte solutions
B05XA03,B05X,I.V. SOLUTION ADDITIVES
B05XA03,B05,BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS
B05XA03,B,BLOOD AND BLOOD FORMING ORGANS
B05CB02,B05CB,Salt solutions
B05CB02,B05C,IRRIGATING SOLUTIONS
B05CB02,B05,BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS
B05CB02,B,BLOOD AND BLOOD FORMING ORGANS
V03AN03,V03AN,Medical gases
V03AN03,V03A,ALL OTHER THERAPEUTIC PRODUCTS
V03AN03,V03,ALL OTHER THERAPEUTIC PRODUCTS
V03AN03,V,VARIOUS
V08AB05,V08AB,"Watersoluble, nephrotropic, low osmolar X-ray contrast media"
V08AB05,V08A,"X-RAY CONTRAST MEDIA, IODINATED"
V08AB05,V08,CONTRAST MEDIA
V08AB05,V,VARIOUS
V03AN02,V03AN,Medical gases
V03AN02,V03A,ALL OTHER THERAPEUTIC PRODUCTS
V03AN02,V03,ALL OTHER THERAPEUTIC PRODUCTS
V03AN02,V,VARIOUS
V09GA02,V09GA,Technetium (99mTc) compounds
V09GA02,V09G,CARDIOVASCULAR SYSTEM
V09GA02,V09,DIAGNOSTIC RADIOPHARMACEUTICALS
V09GA02,V,VARIOUS
V09GA01,V09GA,Technetium (99mTc) compounds
V09GA01,V09G,CARDIOVASCULAR SYSTEM
V09GA01,V09,DIAGNOSTIC RADIOPHARMACEUTICALS
V09GA01,V,VARIOUS
V09AA01,V09AA,Technetium (99mTc) compounds
V09AA01,V09A,CENTRAL NERVOUS SYSTEM
V09AA01,V09,DIAGNOSTIC RADIOPHARMACEUTICALS
V09AA01,V,VARIOUS
V09DA01,V09DA,Technetium (99mTc) compounds
V09DA01,V09D,HEPATIC AND RETICULO ENDOTHELIAL SYSTEM
V09DA01,V09,DIAGNOSTIC RADIOPHARMACEUTICALS
V09DA01,V,VARIOUS
V09BA03,V09BA,Technetium (99mTc) compounds
V09BA03,V09B,SKELETON
V09BA03,V09,DIAGNOSTIC RADIOPHARMACEUTICALS
V09BA03,V,VARIOUS
N05BA19,N05BA,Benzodiazepine derivatives
N05BA19,N05B,ANXIOLYTICS
N05BA19,N05,PSYCHOLEPTICS
N05BA19,N,NERVOUS SYSTEM
N06AA16,N06AA,Non-selective monoamine reuptake inhibitors
N06AA16,N06A,ANTIDEPRESSANTS
N06AA16,N06,PSYCHOANALEPTICS
N06AA16,N,NERVOUS SYSTEM
J05AX16,J05AX,Other antivirals
J05AX16,J05A,DIRECT ACTING ANTIVIRALS
J05AX16,J05,ANTIVIRALS FOR SYSTEMIC USE
J05AX16,J,ANTIINFECTIVES FOR SYSTEMIC USE
J05AX16,J05AX,Other antivirals
J05AX16,J05A,DIRECT ACTING ANTIVIRALS
J05AX16,J05,ANTIVIRALS FOR SYSTEMIC USE
J05AX16,J,ANTIINFECTIVES FOR SYSTEMIC USE
N06AX09,N06AX,Other antidepressants
N06AX09,N06A,ANTIDEPRESSANTS
N06AX09,N06,PSYCHOANALEPTICS
N06AX09,N,NERVOUS SYSTEM
N06AB09,N06AB,Selective serotonin reuptake inhibitors
N06AB09,N06A,ANTIDEPRESSANTS
N06AB09,N06,PSYCHOANALEPTICS
N06AB09,N,NERVOUS SYSTEM
S01GA56,C01CA,Adrenergic and dopaminergic agents
S01GA56,C01C,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES
S01GA56,C01,CARDIAC THERAPY
S01GA56,C,CARDIOVASCULAR SYSTEM
S01GA56,S01GA,Sympathomimetics used as decongestants
S01GA56,S01G,DECONGESTANTS AND ANTIALLERGICS
S01GA56,S01,OPHTHALMOLOGICALS
S01GA56,S,SENSORY ORGANS
S01GA56,S01GA,Sympathomimetics used as decongestants
S01GA56,S01G,DECONGESTANTS AND ANTIALLERGICS
S01GA56,S01,OPHTHALMOLOGICALS
S01GA56,S,SENSORY ORGANS
G04BE06,C04AX,Other peripheral vasodilators
G04BE06,C04A,PERIPHERAL VASODILATORS
G04BE06,C04,PERIPHERAL VASODILATORS
G04BE06,C,CARDIOVASCULAR SYSTEM
G04BE06,G04BE,Drugs used in erectile dysfunction
G04BE06,G04B,UROLOGICALS
G04BE06,G04,UROLOGICALS
G04BE06,G,GENITO URINARY SYSTEM AND SEX HORMONES
C02CA03,C02CA,Alpha-adrenoreceptor antagonists
C02CA03,C02C,"ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING"
C02CA03,C02,ANTIHYPERTENSIVES
C02CA03,C,CARDIOVASCULAR SYSTEM
M04AX02,M04AX,Other antigout preparations
M04AX02,M04A,ANTIGOUT PREPARATIONS
M04AX02,M04,ANTIGOUT PREPARATIONS
M04AX02,M,MUSCULO-SKELETAL SYSTEM
R05DA08,R05DA,Opium alkaloids and derivatives
R05DA08,R05D,"COUGH SUPPRESSANTS, EXCL. COMBINATIONS WITH EXPECTORANTS"
R05DA08,R05,COUGH AND COLD PREPARATIONS
R05DA08,R,RESPIRATORY SYSTEM
N06BX03,N06BX,Other psychostimulants and nootropics
N06BX03,N06B,"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS"
N06BX03,N06,PSYCHOANALEPTICS
N06BX03,N,NERVOUS SYSTEM
M01AE14,M01AE,Propionic acid derivatives
M01AE14,M01A,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS"
M01AE14,M01,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS
M01AE14,M,MUSCULO-SKELETAL SYSTEM
M01AE17,M02AA,"Antiinflammatory preparations, non-steroids for topical use"
M01AE17,M02A,TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN
M01AE17,M02,TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN
M01AE17,M,MUSCULO-SKELETAL SYSTEM
M01AE17,M01AE,Propionic acid derivatives
M01AE17,M01A,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS"
M01AE17,M01,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS
M01AE17,M,MUSCULO-SKELETAL SYSTEM
M01AC04,M01AC,Oxicams
M01AC04,M01A,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS"
M01AC04,M01,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS
M01AC04,M,MUSCULO-SKELETAL SYSTEM
M01AG02,M01AG,Fenamates
M01AG02,M01A,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS"
M01AG02,M01,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS
M01AG02,M,MUSCULO-SKELETAL SYSTEM
A06AB09,A06AB,Contact laxatives
A06AB09,A06A,DRUGS FOR CONSTIPATION
A06AB09,A06,DRUGS FOR CONSTIPATION
A06AB09,A,ALIMENTARY TRACT AND METABOLISM
C01DX16,C01DX,Other vasodilators used in cardiac diseases
C01DX16,C01D,VASODILATORS USED IN CARDIAC DISEASES
C01DX16,C01,CARDIAC THERAPY
C01DX16,C,CARDIOVASCULAR SYSTEM
B02BB01,B02BB,Fibrinogen
B02BB01,B02B,VITAMIN K AND OTHER HEMOSTATICS
B02BB01,B02,ANTIHEMORRHAGICS
B02BB01,B,BLOOD AND BLOOD FORMING ORGANS
N05AD03,N05AD,Butyrophenone derivatives
N05AD03,N05A,ANTIPSYCHOTICS
N05AD03,N05,PSYCHOLEPTICS
N05AD03,N,NERVOUS SYSTEM
N05AX11,N05AX,Other antipsychotics
N05AX11,N05A,ANTIPSYCHOTICS
N05AX11,N05,PSYCHOLEPTICS
N05AX11,N,NERVOUS SYSTEM
C08CA12,C08CA,Dihydropyridine derivatives
C08CA12,C08C,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS
C08CA12,C08,CALCIUM CHANNEL BLOCKERS
C08CA12,C,CARDIOVASCULAR SYSTEM
B06AC04,B06AC,Drugs used in hereditary angioedema
B06AC04,B06A,OTHER HEMATOLOGICAL AGENTS
B06AC04,B06,OTHER HEMATOLOGICAL AGENTS
B06AC04,B,BLOOD AND BLOOD FORMING ORGANS
C08CA15,C08CA,Dihydropyridine derivatives
C08CA15,C08C,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS
C08CA15,C08,CALCIUM CHANNEL BLOCKERS
C08CA15,C,CARDIOVASCULAR SYSTEM
C08CA14,C08CA,Dihydropyridine derivatives
C08CA14,C08C,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS
C08CA14,C08,CALCIUM CHANNEL BLOCKERS
C08CA14,C,CARDIOVASCULAR SYSTEM
C08CA09,C08CA,Dihydropyridine derivatives
C08CA09,C08C,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS
C08CA09,C08,CALCIUM CHANNEL BLOCKERS
C08CA09,C,CARDIOVASCULAR SYSTEM
C09BB12,C08CA,Dihydropyridine derivatives
C09BB12,C08C,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS
C09BB12,C08,CALCIUM CHANNEL BLOCKERS
C09BB12,C,CARDIOVASCULAR SYSTEM
C09BB12,C09BB,ACE inhibitors and calcium channel blockers
C09BB12,C09B,"ACE INHIBITORS, COMBINATIONS"
C09BB12,C09,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM
C09BB12,C,CARDIOVASCULAR SYSTEM
V04CG05,V03AB,Antidotes
V04CG05,V03A,ALL OTHER THERAPEUTIC PRODUCTS
V04CG05,V03,ALL OTHER THERAPEUTIC PRODUCTS
V04CG05,V,VARIOUS
V04CG05,V04CG,Tests for gastric secretion
V04CG05,V04C,OTHER DIAGNOSTIC AGENTS
V04CG05,V04,DIAGNOSTIC AGENTS
V04CG05,V,VARIOUS
C02AC05,C02LC,Imidazoline receptor agonists in combination with diuretics
C02AC05,C02L,ANTIHYPERTENSIVES AND DIURETICS IN COMBINATION
C02AC05,C02,ANTIHYPERTENSIVES
C02AC05,C,CARDIOVASCULAR SYSTEM
C02AC05,C02AC,Imidazoline receptor agonists
C02AC05,C02A,"ANTIADRENERGIC AGENTS, CENTRALLY ACTING"
C02AC05,C02,ANTIHYPERTENSIVES
C02AC05,C,CARDIOVASCULAR SYSTEM
N06AG03,N06AG,Monoamine oxidase A inhibitors
N06AG03,N06A,ANTIDEPRESSANTS
N06AG03,N06,PSYCHOANALEPTICS
N06AG03,N,NERVOUS SYSTEM
N06AF06,N06AF,"Monoamine oxidase inhibitors, non-selective"
N06AF06,N06A,ANTIDEPRESSANTS
N06AF06,N06,PSYCHOANALEPTICS
N06AF06,N,NERVOUS SYSTEM
B05AA05,B05AA,Blood substitutes and plasma protein fractions
B05AA05,B05A,BLOOD AND RELATED PRODUCTS
B05AA05,B05,BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS
B05AA05,B,BLOOD AND BLOOD FORMING ORGANS
L01BC03,L01BC,Pyrimidine analogues
L01BC03,L01B,ANTIMETABOLITES
L01BC03,L01,ANTINEOPLASTIC AGENTS
L01BC03,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
L01BC03,L01BC,Pyrimidine analogues
L01BC03,L01B,ANTIMETABOLITES
L01BC03,L01,ANTINEOPLASTIC AGENTS
L01BC03,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
B01AB12,B01AB,Heparin group
B01AB12,B01A,ANTITHROMBOTIC AGENTS
B01AB12,B01,ANTITHROMBOTIC AGENTS
B01AB12,B,BLOOD AND BLOOD FORMING ORGANS
B01AB08,B01AB,Heparin group
B01AB08,B01A,ANTITHROMBOTIC AGENTS
B01AB08,B01,ANTITHROMBOTIC AGENTS
B01AB08,B,BLOOD AND BLOOD FORMING ORGANS
B01AB07,B01AB,Heparin group
B01AB07,B01A,ANTITHROMBOTIC AGENTS
B01AB07,B01,ANTITHROMBOTIC AGENTS
B01AB07,B,BLOOD AND BLOOD FORMING ORGANS
V03AB37,V03AB,Antidotes
V03AB37,V03A,ALL OTHER THERAPEUTIC PRODUCTS
V03AB37,V03,ALL OTHER THERAPEUTIC PRODUCTS
V03AB37,V,VARIOUS
A10BX10,A10BX,"Other blood glucose lowering drugs, excl. insulins"
A10BX10,A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS"
A10BX10,A10,DRUGS USED IN DIABETES
A10BX10,A,ALIMENTARY TRACT AND METABOLISM
V09IA09,V09IA,Technetium (99mTc) compounds
V09IA09,V09I,TUMOUR DETECTION
V09IA09,V09,DIAGNOSTIC RADIOPHARMACEUTICALS
V09IA09,V,VARIOUS
M05BX53,M05BX,Other drugs affecting bone structure and mineralization
M05BX53,M05B,DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION
M05BX53,M05,DRUGS FOR TREATMENT OF BONE DISEASES
M05BX53,M,MUSCULO-SKELETAL SYSTEM
M05BX53,M05BX,Other drugs affecting bone structure and mineralization
M05BX53,M05B,DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION
M05BX53,M05,DRUGS FOR TREATMENT OF BONE DISEASES
M05BX53,M,MUSCULO-SKELETAL SYSTEM
A06AB08,A06AB,Contact laxatives
A06AB08,A06A,DRUGS FOR CONSTIPATION
A06AB08,A06,DRUGS FOR CONSTIPATION
A06AB08,A,ALIMENTARY TRACT AND METABOLISM
A06AB08,A06AB,Contact laxatives
A06AB08,A06A,DRUGS FOR CONSTIPATION
A06AB08,A06,DRUGS FOR CONSTIPATION
A06AB08,A,ALIMENTARY TRACT AND METABOLISM
C01EB09,C01EB,Other cardiac preparations
C01EB09,C01E,OTHER CARDIAC PREPARATIONS
C01EB09,C01,CARDIAC THERAPY
C01EB09,C,CARDIOVASCULAR SYSTEM
A03BB05,A03BB,"Belladonna alkaloids, semisynthetic, quaternary ammonium compounds"
A03BB05,A03B,"BELLADONNA AND DERIVATIVES, PLAIN"
A03BB05,A03,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS
A03BB05,A,ALIMENTARY TRACT AND METABOLISM
R03DA20,R03DA,Xanthines
R03DA20,R03D,OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES
R03DA20,R03,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES
R03DA20,R,RESPIRATORY SYSTEM
R03DA20,R03DA,Xanthines
R03DA20,R03D,OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES
R03DA20,R03,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES
R03DA20,R,RESPIRATORY SYSTEM
P01BF06,P01BF,"Artemisinin and derivatives, combinations"
P01BF06,P01B,ANTIMALARIALS
P01BF06,P01,ANTIPROTOZOALS
P01BF06,P,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS"
P01BF06,P01BF,"Artemisinin and derivatives, combinations"
P01BF06,P01B,ANTIMALARIALS
P01BF06,P01,ANTIPROTOZOALS
P01BF06,P,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS"
P01BF06,P01BE,"Artemisinin and derivatives, plain"
P01BF06,P01B,ANTIMALARIALS
P01BF06,P01,ANTIPROTOZOALS
P01BF06,P,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS"
P01BF06,P01BF,"Artemisinin and derivatives, combinations"
P01BF06,P01B,ANTIMALARIALS
P01BF06,P01,ANTIPROTOZOALS
P01BF06,P,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS"
P01BF06,P01BF,"Artemisinin and derivatives, combinations"
P01BF06,P01B,ANTIMALARIALS
P01BF06,P01,ANTIPROTOZOALS
P01BF06,P,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS"
A02BX05,A02BD,Combinations for eradication of Helicobacter pylori
A02BX05,A02B,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
A02BX05,A02,DRUGS FOR ACID RELATED DISORDERS
A02BX05,A,ALIMENTARY TRACT AND METABOLISM
A02BX05,A02BX,Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)
A02BX05,A02B,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
A02BX05,A02,DRUGS FOR ACID RELATED DISORDERS
A02BX05,A,ALIMENTARY TRACT AND METABOLISM
M01CB01,M01CB,Gold preparations
M01CB01,M01C,SPECIFIC ANTIRHEUMATIC AGENTS
M01CB01,M01,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS
M01CB01,M,MUSCULO-SKELETAL SYSTEM
A07BA01,A07BA,Charcoal preparations
A07BA01,A07B,INTESTINAL ADSORBENTS
A07BA01,A07,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS"
A07BA01,A,ALIMENTARY TRACT AND METABOLISM
A07BA01,A07BA,Charcoal preparations
A07BA01,A07B,INTESTINAL ADSORBENTS
A07BA01,A07,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS"
A07BA01,A,ALIMENTARY TRACT AND METABOLISM
C09CA10,C09CA,"Angiotensin II antagonists, plain"
C09CA10,C09C,"ANGIOTENSIN II ANTAGONISTS, PLAIN"
C09CA10,C09,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM
C09CA10,C,CARDIOVASCULAR SYSTEM
R07AX30,R07AX,Other respiratory system products
R07AX30,R07A,OTHER RESPIRATORY SYSTEM PRODUCTS
R07AX30,R07,OTHER RESPIRATORY SYSTEM PRODUCTS
R07AX30,R,RESPIRATORY SYSTEM
C01DX12,C01DX,Other vasodilators used in cardiac diseases
C01DX12,C01D,VASODILATORS USED IN CARDIAC DISEASES
C01DX12,C01,CARDIAC THERAPY
C01DX12,C,CARDIOVASCULAR SYSTEM
C01DX11,C01DX,Other vasodilators used in cardiac diseases
C01DX11,C01D,VASODILATORS USED IN CARDIAC DISEASES
C01DX11,C01,CARDIAC THERAPY
C01DX11,C,CARDIOVASCULAR SYSTEM
C01DX09,C01DX,Other vasodilators used in cardiac diseases
C01DX09,C01D,VASODILATORS USED IN CARDIAC DISEASES
C01DX09,C01,CARDIAC THERAPY
C01DX09,C,CARDIOVASCULAR SYSTEM
M01AX22,M01AX,"Other antiinflammatory and antirheumatic agents, non-steroids"
M01AX22,M01A,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS"
M01AX22,M01,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS
M01AX22,M,MUSCULO-SKELETAL SYSTEM
N05AD05,N05AD,Butyrophenone derivatives
N05AD05,N05A,ANTIPSYCHOTICS
N05AD05,N05,PSYCHOLEPTICS
N05AD05,N,NERVOUS SYSTEM
A06AD65,A06AD,Osmotically acting laxatives
A06AD65,A06A,DRUGS FOR CONSTIPATION
A06AD65,A06,DRUGS FOR CONSTIPATION
A06AD65,A,ALIMENTARY TRACT AND METABOLISM
A06AD65,A06AD,Osmotically acting laxatives
A06AD65,A06A,DRUGS FOR CONSTIPATION
A06AD65,A06,DRUGS FOR CONSTIPATION
A06AD65,A,ALIMENTARY TRACT AND METABOLISM
N02BE05,N02BE,Anilides
N02BE05,N02B,OTHER ANALGESICS AND ANTIPYRETICS
N02BE05,N02,ANALGESICS
N02BE05,N,NERVOUS SYSTEM
N06AX14,N06AX,Other antidepressants
N06AX14,N06A,ANTIDEPRESSANTS
N06AX14,N06,PSYCHOANALEPTICS
N06AX14,N,NERVOUS SYSTEM
C09DX04,C09DX,"Angiotensin II antagonists, other combinations"
C09DX04,C09D,"ANGIOTENSIN II ANTAGONISTS, COMBINATIONS"
C09DX04,C09,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM
C09DX04,C,CARDIOVASCULAR SYSTEM
V09FX03,V10XA,Iodine (131I) compounds
V09FX03,V10X,OTHER THERAPEUTIC RADIOPHARMACEUTICALS
V09FX03,V10,THERAPEUTIC RADIOPHARMACEUTICALS
V09FX03,V,VARIOUS
V09FX03,V09FX,Various thyroid diagnostic radiopharmaceuticals
V09FX03,V09F,THYROID
V09FX03,V09,DIAGNOSTIC RADIOPHARMACEUTICALS
V09FX03,V,VARIOUS
J05AX66,J05AX,Other antivirals
J05AX66,J05A,DIRECT ACTING ANTIVIRALS
J05AX66,J05,ANTIVIRALS FOR SYSTEMIC USE
J05AX66,J,ANTIINFECTIVES FOR SYSTEMIC USE
J05AX66,J05AX,Other antivirals
J05AX66,J05A,DIRECT ACTING ANTIVIRALS
J05AX66,J05,ANTIVIRALS FOR SYSTEMIC USE
J05AX66,J,ANTIINFECTIVES FOR SYSTEMIC USE
J05AX66,J05AX,Other antivirals
J05AX66,J05A,DIRECT ACTING ANTIVIRALS
J05AX66,J05,ANTIVIRALS FOR SYSTEMIC USE
J05AX66,J,ANTIINFECTIVES FOR SYSTEMIC USE
J05AX66,J05AX,Other antivirals
J05AX66,J05A,DIRECT ACTING ANTIVIRALS
J05AX66,J05,ANTIVIRALS FOR SYSTEMIC USE
J05AX66,J,ANTIINFECTIVES FOR SYSTEMIC USE
J05AR17,J05AR,"Antivirals for treatment of HIV infections, combinations"
J05AR17,J05A,DIRECT ACTING ANTIVIRALS
J05AR17,J05,ANTIVIRALS FOR SYSTEMIC USE
J05AR17,J,ANTIINFECTIVES FOR SYSTEMIC USE
J05AR17,J05AR,"Antivirals for treatment of HIV infections, combinations"
J05AR17,J05A,DIRECT ACTING ANTIVIRALS
J05AR17,J05,ANTIVIRALS FOR SYSTEMIC USE
J05AR17,J,ANTIINFECTIVES FOR SYSTEMIC USE
J05AR17,J05AR,"Antivirals for treatment of HIV infections, combinations"
J05AR17,J05A,DIRECT ACTING ANTIVIRALS
J05AR17,J05,ANTIVIRALS FOR SYSTEMIC USE
J05AR17,J,ANTIINFECTIVES FOR SYSTEMIC USE
A03DB04,A03BB,"Belladonna alkaloids, semisynthetic, quaternary ammonium compounds"
A03DB04,A03B,"BELLADONNA AND DERIVATIVES, PLAIN"
A03DB04,A03,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS
A03DB04,A,ALIMENTARY TRACT AND METABOLISM
A03DB04,A03DB,Belladonna and derivatives in combination with analgesics
A03DB04,A03D,ANTISPASMODICS IN COMBINATION WITH ANALGESICS
A03DB04,A03,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS
A03DB04,A,ALIMENTARY TRACT AND METABOLISM
M01AX25,M01AX,"Other antiinflammatory and antirheumatic agents, non-steroids"
M01AX25,M01A,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS"
M01AX25,M01,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS
M01AX25,M,MUSCULO-SKELETAL SYSTEM
C10AX13,C10AX,Other lipid modifying agents
C10AX13,C10A,"LIPID MODIFYING AGENTS, PLAIN"
C10AX13,C10,LIPID MODIFYING AGENTS
C10AX13,C,CARDIOVASCULAR SYSTEM
B02BD11,B02BD,Blood coagulation factors
B02BD11,B02B,VITAMIN K AND OTHER HEMOSTATICS
B02BD11,B02,ANTIHEMORRHAGICS
B02BD11,B,BLOOD AND BLOOD FORMING ORGANS
A06AC08,A06AC,Bulk-forming laxatives
A06AC08,A06A,DRUGS FOR CONSTIPATION
A06AC08,A06,DRUGS FOR CONSTIPATION
A06AC08,A,ALIMENTARY TRACT AND METABOLISM
L04AA03,L04AA,Selective immunosuppressants
L04AA03,L04A,IMMUNOSUPPRESSANTS
L04AA03,L04,IMMUNOSUPPRESSANTS
L04AA03,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
V08AB03,V08AB,"Watersoluble, nephrotropic, low osmolar X-ray contrast media"
V08AB03,V08A,"X-RAY CONTRAST MEDIA, IODINATED"
V08AB03,V08,CONTRAST MEDIA
V08AB03,V,VARIOUS
V09FX01,V09FX,Various thyroid diagnostic radiopharmaceuticals
V09FX01,V09F,THYROID
V09FX01,V09,DIAGNOSTIC RADIOPHARMACEUTICALS
V09FX01,V,VARIOUS
V09EX03,V09EX,Other respiratory system diagnostic radiopharmaceuticals
V09EX03,V09E,RESPIRATORY SYSTEM
V09EX03,V09,DIAGNOSTIC RADIOPHARMACEUTICALS
V09EX03,V,VARIOUS
J01CA05,J01CR,"Combinations of penicillins, incl. beta-lactamase inhibitors"
J01CA05,J01C,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS"
J01CA05,J01,ANTIBACTERIALS FOR SYSTEMIC USE
